peak No.,Anotation,start m/z,end m/z,RT(min,RT(sec,RI,BY00,BY01,BY02,BY03,BY04,BY05,BY06,BY07,BY08,BY09,BY10,Xaa00,Xaa01,Xaa02,Xaa03,Xaa04,Xaa05,Xaa06,Xaa07,Xaa08,Xaa09,Xaa10,Xwo00,Xwo01,Xwo02,Xwo03,Xwo04,Xwo05,Xwo06,Xwo07,Xwo08,Xwo09,Xwo10
Peak-50,,117,119,11.78,706.8,1817,0.864053378,0.899678686,0.776505061,0.858013937,0.698042371,0.675849403,0.492534218,0.283519553,0.282533656,0.249504237,0.191755725,0.797202797,0.832903354,0.824657534,0.846986347,0.765206813,0.664197105,0.584649725,0.440261184,0.296965853,0.295533602,0.136251874,0.743310516,0.786864932,0.749465431,0.793583301,0.750488599,0.722113503,0.537466717,0.419057039,0.304329004,0.144521411,0.104695838
Peak-51,Lysine_3TMS_Minor::C00047,174,175,11.995,719.7,1847.9,0.845415137,0.850199894,0.847041513,0.842688656,0.846225633,0.843369468,0.847435557,0.845262021,0.846748819,0.848262237,0.849591392,0.843220877,0.843901615,0.841849452,0.841199441,0.848342863,0.849727908,0.845138046,0.843755133,0.847421364,0.841562347,0.798332284,0.839461485,0.810914928,0.843122161,0.861427094,0.832231553,0.853864275,0.828491912,0.866285848,0.770235238,0.590828297,0.108754649
Peak-52,Allose_1_Major::C01487,319,323,12.06,723.6,1857.2,0.664132638,0.684825761,0.642959087,0.676153336,0.658621785,0.631073357,0.664102144,0.676422255,0.601289059,0.454870572,0.301646792,0.652119388,0.54592774,0.667394469,0.632865731,0.68939142,0.706146409,0.505205144,0.66453072,0.383633842,0.317279256,0.031015766,0.667437252,0.559674503,0.694011072,0.567259786,0.650368034,0.648504274,0.57512383,0.545081967,0.419427711,0.197928026,0.014705882
Peak-53,,205,207,12.285,737.1,1888.9,0.77316324,0.027424639,0.0220909,0.019479311,0.02619977,0.014796579,0.013351896,0.027594794,0.022391615,0.0189507,0.023992622,0.763833139,0.028588178,0.029008419,0.012310606,0.021050899,0.018045035,0.021755634,0.021896328,0.023776307,0.017107369,0.024517408,0.791491073,0.040765265,0.013772156,0.008736685,0.032298062,0.013018396,0.013675943,0.030084878,0.014234285,0.031200921,0.017219581
Peak-54,Glucose_2_Minor::C00031,319,323,12.34,740.4,1896.5,0.669856057,0.004609735,0.004457392,0.004918509,0.00458097,0.004495775,0.004584302,0.004621504,0.004621352,0.004712722,0.004744156,0.671754807,0.005935218,0.009967095,0.005507289,0.005231964,0.005260793,0.005350639,0.00499275,0.005260668,0.005129562,0.005890438,0.675954298,0.008035022,0.006848464,0.006506506,0.006587136,0.006777162,0.006544034,0.00686343,0.006654067,0.006797913,0.007041928
Peak-55,Lysine_4TMS_Major::C00047,174,175,12.42,745.2,1908.5,0.842498637,0.845189402,0.845298844,0.847356462,0.842760809,0.845935236,0.843029845,0.843668311,0.842118969,0.847863036,0.846884543,0.84401624,0.843669507,0.844213792,0.843171286,0.84720632,0.844987276,0.843084573,0.845822054,0.846486374,0.840698335,0.79148189,0.837206864,0.843147727,0.840183803,0.844890496,0.843868521,0.84628891,0.841897053,0.82181127,0.767001362,0.585372791,0.100761189
Peak-57,Histidine::C00135+0,254,259,12.49,749.4,1919.2,0.698307168,0.707858291,0.67652111,0.72495613,0.655468243,0.71895118,0.716741271,0.724886065,0.68705727,0.721447353,0.724175269,0.629470672,0.669084821,0.628474467,0.662488809,0.685797195,0.660282718,0.615347413,0.690304061,0.687253909,0.696460374,0.717614065,0.554342667,0.571361722,0.694933053,0.736015234,0.652960172,0.682596132,0.504130224,0.571796339,0.529684096,0.450203984,0.136181943
Peak-59,,217,220,12.629,757.7,1940.3,0.722228192,0.005920481,0.002030089,0.004003058,0.004984565,0.002982963,0.004658226,0.009075216,0.007208325,0.006360096,0.009377729,0.712353695,0.007885568,0.015113798,0.004231234,0.003299769,0.010607823,0.010678285,0.006034305,0.007111265,0.004692912,0.009748428,0.716840262,0.006414024,0.010335516,0.007411724,0.007839579,0.007121439,0.0120052,0.005024864,0.011299435,0.005880111,0.006901256
Peak-60,,204,206,12.71,762.6,1952.5,0.774915155,0.010146137,0.013740824,0.013843232,0.00511811,0.011744196,0.01038082,0.01016567,0.013981427,0.008662557,0.010061046,0.780020121,0.01740789,0.016247142,0.011361006,0.013817261,0.014505306,0.010477798,0.009010921,0.011084648,0.022326351,0.019199648,0.777910872,0.014168895,0.011956832,0.015367761,0.013755855,0.01383154,0.012653025,0.014045704,0.012578745,0.0139245,0.019874073
Peak-61,,204,206,13.049,782.9,2003.1,0.749404583,0.007199702,0.008040089,0.008154393,0.008288006,0.00833271,0.007879832,0.007693376,0.006942464,0.008367462,0.008290022,0.749947003,0.008196964,0.013417424,0.008156121,0.008542336,0.008994378,0.009292039,0.007911039,0.009157212,0.00989762,0.010194991,0.746933131,0.009921357,0.009321505,0.009822493,0.009797809,0.009957641,0.009307501,0.010029436,0.010012425,0.010255193,0.011332553
